Source;Target;Weight
r_547;minecraft:crimson_planks;4
minecraft:warped_hyphae;r_548;-1
r_548;minecraft:warped_planks;4
minecraft:crimson_hyphae;r_549;-1
r_549;minecraft:crimson_planks;4
minecraft:stripped_crimson_hyphae;r_550;-1
r_550;minecraft:crimson_planks;4
minecraft:stripped_warped_hyphae;r_551;-1
r_551;minecraft:warped_planks;4
minecraft:packed_ice;r_552;-9
r_552;minecraft:blue_ice;1
minecraft:cobbled_deepslate;r_553;-4
r_553;minecraft:polished_deepslate;4
minecraft:cobbled_deepslate_slab;r_554;-2
r_554;minecraft:chiseled_deepslate;1
minecraft:cobblestone;r_555;-2
minecraft:quartz;r_555;-2
r_555;minecraft:diorite;2
minecraft:diorite;r_556;-4
r_556;minecraft:polished_diorite;4
minecraft:deepslate_bricks;r_557;-4
r_557;minecraft:deepslate_tiles;4
minecraft:polished_deepslate;r_558;-4
r_558;minecraft:deepslate_bricks;4
minecraft:copper_ingot;r_559;-9
r_559;minecraft:copper_block;1
minecraft:copper_block;r_560;-4
r_560;minecraft:cut_copper;4
minecraft:exposed_copper;r_561;-4
r_561;minecraft:exposed_cut_copper;4
minecraft:weathered_copper;r_562;-4
r_562;minecraft:weathered_cut_copper;4
minecraft:oxidized_copper;r_563;-4
r_563;minecraft:oxidized_cut_copper;4
minecraft:copper_block;r_564;-1
minecraft:honeycomb;r_564;-1
r_564;minecraft:waxed_copper;1
minecraft:exposed_copper;r_565;-1
minecraft:honeycomb;r_565;-1
r_565;minecraft:waxed_exposed_copper;1
minecraft:weathered_copper;r_566;-1
minecraft:honeycomb;r_566;-1
r_566;minecraft:waxed_weathered_copper;1
minecraft:oxidized_copper;r_567;-1
minecraft:honeycomb;r_567;-1
r_567;minecraft:waxed_oxidized_copper;1
minecraft:cut_copper;r_568;-1
minecraft:honeycomb;r_568;-1
r_568;minecraft:waxed_cut_copper;1
minecraft:exposed_cut_copper;r_569;-1
minecraft:honeycomb;r_569;-1
r_569;minecraft:waxed_exposed_cut_copper;1
minecraft:weathered_cut_copper;r_570;-1
minecraft:honeycomb;r_570;-1
r_570;minecraft:waxed_weathered_cut_copper;1
minecraft:oxidized_cut_copper;r_571;-1
minecraft:honeycomb;r_571;-1
r_571;minecraft:waxed_oxidized_cut_copper;1
minecraft:waxed_copper;r_572;-4
r_572;minecraft:waxed_cut_copper;4
minecraft:waxed_exposed_copper;r_573;-4
r_573;minecraft:waxed_exposed_cut_copper;4
minecraft:waxed_weathered_copper;r_574;-4
r_574;minecraft:waxed_weathered_cut_copper;4
minecraft:waxed_oxidized_copper;r_575;-4
r_575;minecraft:waxed_oxidized_cut_copper;4
minecraft:raw_gold;r_576;-9
r_576;minecraft:raw_gold_block;1
minecraft:raw_iron;r_577;-9
r_577;minecraft:raw_iron_block;1
minecraft:diamond;r_578;-9
r_578;minecraft:diamond_block;1
minecraft:cobblestone;r_579;-1
minecraft:vine;r_579;-1
r_579;minecraft:mossy_cobblestone;1
minecraft:cobblestone;r_580;-1
minecraft:moss_block;r_580;-1
r_580;minecraft:mossy_cobblestone;1
minecraft:glass;r_581;-3
minecraft:aluminumoxide;r_581;-3
minecraft:borontrioxide;r_581;-3
r_581;minecraft:hard_glass_pane;3
minecraft:white_stained_glass;r_582;-3
minecraft:aluminumoxide;r_582;-3
minecraft:borontrioxide;r_582;-3
r_582;minecraft:hard_white_stained_glass;3
minecraft:orange_stained_glass;r_583;-3
minecraft:aluminumoxide;r_583;-3
minecraft:borontrioxide;r_583;-3
r_583;minecraft:hard_orange_stained_glass;3
minecraft:magenta_stained_glass;r_584;-3
minecraft:aluminumoxide;r_584;-3
minecraft:borontrioxide;r_584;-3
r_584;minecraft:hard_magenta_stained_glass;3
minecraft:light_blue_stained_glass;r_585;-3
minecraft:aluminumoxide;r_585;-3
minecraft:borontrioxide;r_585;-3
r_585;minecraft:hard_light_blue_stained_glass;3
minecraft:yellow_stained_glass;r_586;-3
minecraft:aluminumoxide;r_586;-3
minecraft:borontrioxide;r_586;-3
r_586;minecraft:hard_yellow_stained_glass;3
minecraft:lime_stained_glass;r_587;-3
minecraft:aluminumoxide;r_587;-3
minecraft:borontrioxide;r_587;-3
r_587;minecraft:hard_lime_stained_glass;3
minecraft:pink_stained_glass;r_588;-3
minecraft:aluminumoxide;r_588;-3
minecraft:borontrioxide;r_588;-3
r_588;minecraft:hard_pink_stained_glass;3
minecraft:gray_stained_glass;r_589;-3
minecraft:aluminumoxide;r_589;-3
minecraft:borontrioxide;r_589;-3
r_589;minecraft:hard_gray_stained_glass;3
minecraft:silver_stained_glass;r_590;-3
minecraft:aluminumoxide;r_590;-3
minecraft:borontrioxide;r_590;-3
r_590;minecraft:hard_silver_stained_glass;3
minecraft:cyan_stained_glass;r_591;-3
minecraft:aluminumoxide;r_591;-3
minecraft:borontrioxide;r_591;-3
r_591;minecraft:hard_cyan_stained_glass;3
minecraft:purple_stained_glass;r_592;-3
minecraft:aluminumoxide;r_592;-3
minecraft:borontrioxide;r_592;-3
r_592;minecraft:hard_purple_stained_glass;3
minecraft:blue_stained_glass;r_593;-3
minecraft:aluminumoxide;r_593;-3
minecraft:borontrioxide;r_593;-3
r_593;minecraft:hard_blue_stained_glass;3
minecraft:brown_stained_glass;r_594;-3
minecraft:aluminumoxide;r_594;-3
minecraft:borontrioxide;r_594;-3
r_594;minecraft:hard_brown_stained_glass;3
minecraft:green_stained_glass;r_595;-3
minecraft:aluminumoxide;r_595;-3
minecraft:borontrioxide;r_595;-3
r_595;minecraft:hard_green_stained_glass;3
minecraft:red_stained_glass;r_596;-3
minecraft:aluminumoxide;r_596;-3
minecraft:borontrioxide;r_596;-3
r_596;minecraft:hard_red_stained_glass;3
minecraft:black_stained_glass;r_597;-3
minecraft:aluminumoxide;r_597;-3
minecraft:borontrioxide;r_597;-3
r_597;minecraft:hard_black_stained_glass;3
minecraft:raw_copper;r_598;-9
r_598;minecraft:raw_copper_block;1
minecraft:cobblestone;r_599;-6
r_599;minecraft:cobblestone_wall;6
minecraft:mossy_cobblestone;r_600;-6
r_600;minecraft:mossy_cobblestone_wall;6
minecraft:stonebrick;r_601;-6
r_601;minecraft:stone_brick_wall;6
minecraft:mossy_stone_bricks;r_602;-6
r_602;minecraft:mossy_stone_brick_wall;6
minecraft:andesite;r_603;-6
r_603;minecraft:andesite_wall;6
minecraft:diorite;r_604;-6
r_604;minecraft:diorite_wall;6
minecraft:granite;r_605;-6
r_605;minecraft:granite_wall;6
minecraft:sandstone;r_606;-6
r_606;minecraft:sandstone_wall;6
minecraft:red_sandstone;r_607;-6
r_607;minecraft:red_sandstone_wall;6
minecraft:brick_block;r_608;-6
r_608;minecraft:brick_wall;6
minecraft:prismarine;r_609;-6
r_609;minecraft:prismarine_wall;6
minecraft:nether_bricks;r_610;-6
r_610;minecraft:nether_brick_wall;6
minecraft:red_nether_brick;r_611;-6
r_611;minecraft:red_nether_brick_wall;6
minecraft:end_stone_bricks;r_612;-6
r_612;minecraft:end_brick_wall;6
minecraft:blackstone;r_613;-6
r_613;minecraft:blackstone_wall;6
minecraft:polished_blackstone;r_614;-6
r_614;minecraft:polished_blackstone_wall;6
minecraft:polished_blackstone_bricks;r_615;-6
r_615;minecraft:polished_blackstone_brick_wall;6
minecraft:cobbled_deepslate;r_616;-6
r_616;minecraft:cobbled_deepslate_wall;6
minecraft:polished_deepslate;r_617;-6
r_617;minecraft:polished_deepslate_wall;6
minecraft:deepslate_bricks;r_618;-6
r_618;minecraft:deepslate_brick_wall;6
minecraft:deepslate_tiles;r_619;-6
r_619;minecraft:deepslate_tile_wall;6
minecraft:chest;r_620;-1
minecraft:tripwire_hook;r_620;-1
r_620;minecraft:trapped_chest;1
minecraft:stick;r_621;-8
minecraft:leather;r_621;-1
r_621;minecraft:frame;1
minecraft:frame;r_622;-1
minecraft:glow_ink_sac;r_622;-1
r_622;minecraft:glow_frame;1
minecraft:oak_planks;r_623;-3
minecraft:white_wool;r_623;-3
r_623;minecraft:white_bed;1
minecraft:oak_planks;r_624;-3
minecraft:orange_wool;r_624;-3
r_624;minecraft:orange_bed;1
minecraft:oak_planks;r_625;-3
minecraft:magenta_wool;r_625;-3
r_625;minecraft:magenta_bed;1
minecraft:oak_planks;r_626;-3
minecraft:light_blue_wool;r_626;-3
r_626;minecraft:light_blue_bed;1
minecraft:oak_planks;r_627;-3
minecraft:yellow_wool;r_627;-3
r_627;minecraft:yellow_bed;1
minecraft:oak_planks;r_628;-3
minecraft:lime_wool;r_628;-3
r_628;minecraft:lime_bed;1
minecraft:oak_planks;r_629;-3
minecraft:pink_wool;r_629;-3
r_629;minecraft:pink_bed;1
minecraft:oak_planks;r_630;-3
minecraft:gray_wool;r_630;-3
r_630;minecraft:gray_bed;1
minecraft:oak_planks;r_631;-3
minecraft:silver_wool;r_631;-3
r_631;minecraft:light_gray_bed;1
minecraft:oak_planks;r_632;-3
minecraft:cyan_wool;r_632;-3
r_632;minecraft:cyan_bed;1
minecraft:oak_planks;r_633;-3
minecraft:purple_wool;r_633;-3
r_633;minecraft:purple_bed;1
minecraft:oak_planks;r_634;-3
minecraft:blue_wool;r_634;-3
r_634;minecraft:blue_bed;1
minecraft:oak_planks;r_635;-3
minecraft:brown_wool;r_635;-3
r_635;minecraft:brown_bed;1
minecraft:oak_planks;r_636;-3
minecraft:green_wool;r_636;-3
r_636;minecraft:green_bed;1
minecraft:oak_planks;r_637;-3
minecraft:red_wool;r_637;-3
r_637;minecraft:red_bed;1
minecraft:oak_planks;r_638;-3
minecraft:black_wool;r_638;-3
r_638;minecraft:black_bed;1
minecraft:spruce_planks;r_639;-3
minecraft:white_wool;r_639;-3
r_639;minecraft:white_bed;1
minecraft:spruce_planks;r_640;-3
minecraft:orange_wool;r_640;-3
r_640;minecraft:orange_bed;1
minecraft:spruce_planks;r_641;-3
minecraft:magenta_wool;r_641;-3
r_641;minecraft:magenta_bed;1
minecraft:spruce_planks;r_642;-3
minecraft:light_blue_wool;r_642;-3
r_642;minecraft:light_blue_bed;1
minecraft:spruce_planks;r_643;-3
minecraft:yellow_wool;r_643;-3
r_643;minecraft:yellow_bed;1
minecraft:spruce_planks;r_644;-3
minecraft:lime_wool;r_644;-3
r_644;minecraft:lime_bed;1
minecraft:spruce_planks;r_645;-3
minecraft:pink_wool;r_645;-3
r_645;minecraft:pink_bed;1
minecraft:spruce_planks;r_646;-3
minecraft:gray_wool;r_646;-3
r_646;minecraft:gray_bed;1
minecraft:spruce_planks;r_647;-3
minecraft:silver_wool;r_647;-3
r_647;minecraft:light_gray_bed;1
minecraft:spruce_planks;r_648;-3
minecraft:cyan_wool;r_648;-3
r_648;minecraft:cyan_bed;1
minecraft:spruce_planks;r_649;-3
minecraft:purple_wool;r_649;-3
r_649;minecraft:purple_bed;1
minecraft:spruce_planks;r_650;-3
minecraft:blue_wool;r_650;-3
r_650;minecraft:blue_bed;1
minecraft:spruce_planks;r_651;-3
minecraft:brown_wool;r_651;-3
r_651;minecraft:brown_bed;1
minecraft:spruce_planks;r_652;-3
minecraft:green_wool;r_652;-3
r_652;minecraft:green_bed;1
minecraft:spruce_planks;r_653;-3
minecraft:red_wool;r_653;-3
r_653;minecraft:red_bed;1
minecraft:spruce_planks;r_654;-3
minecraft:black_wool;r_654;-3
r_654;minecraft:black_bed;1
minecraft:birch_planks;r_655;-3
minecraft:white_wool;r_655;-3
r_655;minecraft:white_bed;1
minecraft:birch_planks;r_656;-3
minecraft:orange_wool;r_656;-3
r_656;minecraft:orange_bed;1
minecraft:birch_planks;r_657;-3
minecraft:magenta_wool;r_657;-3
r_657;minecraft:magenta_bed;1
minecraft:birch_planks;r_658;-3
minecraft:light_blue_wool;r_658;-3
r_658;minecraft:light_blue_bed;1
minecraft:birch_planks;r_659;-3
minecraft:yellow_wool;r_659;-3
r_659;minecraft:yellow_bed;1
minecraft:birch_planks;r_660;-3
minecraft:lime_wool;r_660;-3
r_660;minecraft:lime_bed;1
minecraft:birch_planks;r_661;-3
minecraft:pink_wool;r_661;-3
r_661;minecraft:pink_bed;1
minecraft:birch_planks;r_662;-3
minecraft:gray_wool;r_662;-3
r_662;minecraft:gray_bed;1
minecraft:birch_planks;r_663;-3
minecraft:silver_wool;r_663;-3
r_663;minecraft:light_gray_bed;1
minecraft:birch_planks;r_664;-3
minecraft:cyan_wool;r_664;-3
r_664;minecraft:cyan_bed;1
minecraft:birch_planks;r_665;-3
minecraft:purple_wool;r_665;-3
r_665;minecraft:purple_bed;1
minecraft:birch_planks;r_666;-3
minecraft:blue_wool;r_666;-3
r_666;minecraft:blue_bed;1
minecraft:birch_planks;r_667;-3
minecraft:brown_wool;r_667;-3
r_667;minecraft:brown_bed;1
minecraft:birch_planks;r_668;-3
minecraft:green_wool;r_668;-3
r_668;minecraft:green_bed;1
minecraft:birch_planks;r_669;-3
minecraft:red_wool;r_669;-3
r_669;minecraft:red_bed;1
minecraft:birch_planks;r_670;-3
minecraft:black_wool;r_670;-3
r_670;minecraft:black_bed;1
minecraft:jungle_planks;r_671;-3
minecraft:white_wool;r_671;-3
r_671;minecraft:white_bed;1
minecraft:jungle_planks;r_672;-3
minecraft:orange_wool;r_672;-3
r_672;minecraft:orange_bed;1
minecraft:jungle_planks;r_673;-3
minecraft:magenta_wool;r_673;-3
r_673;minecraft:magenta_bed;1
minecraft:jungle_planks;r_674;-3
minecraft:light_blue_wool;r_674;-3
r_674;minecraft:light_blue_bed;1
minecraft:jungle_planks;r_675;-3
minecraft:yellow_wool;r_675;-3
r_675;minecraft:yellow_bed;1
minecraft:jungle_planks;r_676;-3
minecraft:lime_wool;r_676;-3
r_676;minecraft:lime_bed;1
minecraft:jungle_planks;r_677;-3
minecraft:pink_wool;r_677;-3
r_677;minecraft:pink_bed;1
minecraft:jungle_planks;r_678;-3
minecraft:gray_wool;r_678;-3
r_678;minecraft:gray_bed;1
minecraft:jungle_planks;r_679;-3
minecraft:silver_wool;r_679;-3
r_679;minecraft:light_gray_bed;1
minecraft:jungle_planks;r_680;-3
minecraft:cyan_wool;r_680;-3
r_680;minecraft:cyan_bed;1
minecraft:jungle_planks;r_681;-3
minecraft:purple_wool;r_681;-3
r_681;minecraft:purple_bed;1
minecraft:jungle_planks;r_682;-3
minecraft:blue_wool;r_682;-3
r_682;minecraft:blue_bed;1
minecraft:jungle_planks;r_683;-3
minecraft:brown_wool;r_683;-3
r_683;minecraft:brown_bed;1
minecraft:jungle_planks;r_684;-3
minecraft:green_wool;r_684;-3
r_684;minecraft:green_bed;1
minecraft:jungle_planks;r_685;-3
minecraft:red_wool;r_685;-3
r_685;minecraft:red_bed;1
minecraft:jungle_planks;r_686;-3
minecraft:black_wool;r_686;-3
r_686;minecraft:black_bed;1
minecraft:acacia_planks;r_687;-3
minecraft:white_wool;r_687;-3
r_687;minecraft:white_bed;1
minecraft:acacia_planks;r_688;-3
minecraft:orange_wool;r_688;-3
r_688;minecraft:orange_bed;1
minecraft:acacia_planks;r_689;-3
minecraft:magenta_wool;r_689;-3
r_689;minecraft:magenta_bed;1
minecraft:acacia_planks;r_690;-3
minecraft:light_blue_wool;r_690;-3
r_690;minecraft:light_blue_bed;1
minecraft:acacia_planks;r_691;-3
minecraft:yellow_wool;r_691;-3
r_691;minecraft:yellow_bed;1
minecraft:acacia_planks;r_692;-3
minecraft:lime_wool;r_692;-3
r_692;minecraft:lime_bed;1
minecraft:acacia_planks;r_693;-3
minecraft:pink_wool;r_693;-3
r_693;minecraft:pink_bed;1
minecraft:acacia_planks;r_694;-3
minecraft:gray_wool;r_694;-3
r_694;minecraft:gray_bed;1
minecraft:acacia_planks;r_695;-3
minecraft:silver_wool;r_695;-3
r_695;minecraft:light_gray_bed;1
minecraft:acacia_planks;r_696;-3
minecraft:cyan_wool;r_696;-3
r_696;minecraft:cyan_bed;1
minecraft:acacia_planks;r_697;-3
minecraft:purple_wool;r_697;-3
r_697;minecraft:purple_bed;1
minecraft:acacia_planks;r_698;-3
minecraft:blue_wool;r_698;-3
r_698;minecraft:blue_bed;1
minecraft:acacia_planks;r_699;-3
minecraft:brown_wool;r_699;-3
r_699;minecraft:brown_bed;1
minecraft:acacia_planks;r_700;-3
minecraft:green_wool;r_700;-3
r_700;minecraft:green_bed;1
minecraft:acacia_planks;r_701;-3
minecraft:red_wool;r_701;-3
r_701;minecraft:red_bed;1
minecraft:acacia_planks;r_702;-3
minecraft:black_wool;r_702;-3
r_702;minecraft:black_bed;1
minecraft:dark_oak_planks;r_703;-3
minecraft:white_wool;r_703;-3
r_703;minecraft:white_bed;1
minecraft:dark_oak_planks;r_704;-3
minecraft:orange_wool;r_704;-3
r_704;minecraft:orange_bed;1
minecraft:dark_oak_planks;r_705;-3
minecraft:magenta_wool;r_705;-3
r_705;minecraft:magenta_bed;1
minecraft:dark_oak_planks;r_706;-3
minecraft:light_blue_wool;r_706;-3
r_706;minecraft:light_blue_bed;1
minecraft:dark_oak_planks;r_707;-3
minecraft:yellow_wool;r_707;-3
r_707;minecraft:yellow_bed;1
minecraft:dark_oak_planks;r_708;-3
minecraft:lime_wool;r_708;-3
r_708;minecraft:lime_bed;1
minecraft:dark_oak_planks;r_709;-3
minecraft:pink_wool;r_709;-3
r_709;minecraft:pink_bed;1
minecraft:dark_oak_planks;r_710;-3
minecraft:gray_wool;r_710;-3
r_710;minecraft:gray_bed;1
minecraft:dark_oak_planks;r_711;-3
minecraft:silver_wool;r_711;-3
r_711;minecraft:light_gray_bed;1
minecraft:dark_oak_planks;r_712;-3
minecraft:cyan_wool;r_712;-3
r_712;minecraft:cyan_bed;1
minecraft:dark_oak_planks;r_713;-3
minecraft:purple_wool;r_713;-3
r_713;minecraft:purple_bed;1
minecraft:dark_oak_planks;r_714;-3
minecraft:blue_wool;r_714;-3
r_714;minecraft:blue_bed;1
minecraft:dark_oak_planks;r_715;-3
minecraft:brown_wool;r_715;-3
r_715;minecraft:brown_bed;1
minecraft:dark_oak_planks;r_716;-3
minecraft:green_wool;r_716;-3
r_716;minecraft:green_bed;1
minecraft:dark_oak_planks;r_717;-3
minecraft:red_wool;r_717;-3
r_717;minecraft:red_bed;1
minecraft:dark_oak_planks;r_718;-3
minecraft:black_wool;r_718;-3
r_718;minecraft:black_bed;1
minecraft:white_wool;r_719;-3
minecraft:crimson_planks;r_719;-3
r_719;minecraft:white_bed;1
minecraft:orange_wool;r_720;-3
minecraft:crimson_planks;r_720;-3
r_720;minecraft:orange_bed;1
minecraft:magenta_wool;r_721;-3
minecraft:crimson_planks;r_721;-3
r_721;minecraft:magenta_bed;1
minecraft:light_blue_wool;r_722;-3
minecraft:crimson_planks;r_722;-3
r_722;minecraft:light_blue_bed;1
minecraft:yellow_wool;r_723;-3
minecraft:crimson_planks;r_723;-3
r_723;minecraft:yellow_bed;1
minecraft:lime_wool;r_724;-3
minecraft:crimson_planks;r_724;-3
r_724;minecraft:lime_bed;1
minecraft:pink_wool;r_725;-3
minecraft:crimson_planks;r_725;-3
r_725;minecraft:pink_bed;1
minecraft:gray_wool;r_726;-3
minecraft:crimson_planks;r_726;-3
r_726;minecraft:gray_bed;1
minecraft:silver_wool;r_727;-3
minecraft:crimson_planks;r_727;-3
r_727;minecraft:light_gray_bed;1
minecraft:cyan_wool;r_728;-3
minecraft:crimson_planks;r_728;-3
r_728;minecraft:cyan_bed;1
minecraft:purple_wool;r_729;-3
minecraft:crimson_planks;r_729;-3
r_729;minecraft:purple_bed;1
minecraft:blue_wool;r_730;-3
minecraft:crimson_planks;r_730;-3
r_730;minecraft:blue_bed;1
minecraft:brown_wool;r_731;-3
minecraft:crimson_planks;r_731;-3
r_731;minecraft:brown_bed;1
minecraft:green_wool;r_732;-3
minecraft:crimson_planks;r_732;-3
r_732;minecraft:green_bed;1
minecraft:red_wool;r_733;-3
minecraft:crimson_planks;r_733;-3
r_733;minecraft:red_bed;1
minecraft:black_wool;r_734;-3
minecraft:crimson_planks;r_734;-3
r_734;minecraft:black_bed;1
minecraft:white_wool;r_735;-3
minecraft:warped_planks;r_735;-3
r_735;minecraft:white_bed;1
minecraft:orange_wool;r_736;-3
minecraft:warped_planks;r_736;-3
r_736;minecraft:orange_bed;1
minecraft:magenta_wool;r_737;-3
minecraft:warped_planks;r_737;-3
r_737;minecraft:magenta_bed;1
minecraft:light_blue_wool;r_738;-3
minecraft:warped_planks;r_738;-3
r_738;minecraft:light_blue_bed;1
minecraft:yellow_wool;r_739;-3
minecraft:warped_planks;r_739;-3
r_739;minecraft:yellow_bed;1
minecraft:lime_wool;r_740;-3
minecraft:warped_planks;r_740;-3
r_740;minecraft:lime_bed;1
minecraft:pink_wool;r_741;-3
minecraft:warped_planks;r_741;-3
r_741;minecraft:pink_bed;1
minecraft:gray_wool;r_742;-3
minecraft:warped_planks;r_742;-3
r_742;minecraft:gray_bed;1
minecraft:silver_wool;r_743;-3
minecraft:warped_planks;r_743;-3
r_743;minecraft:light_gray_bed;1
minecraft:cyan_wool;r_744;-3
minecraft:warped_planks;r_744;-3
r_744;minecraft:cyan_bed;1
minecraft:purple_wool;r_745;-3
minecraft:warped_planks;r_745;-3
r_745;minecraft:purple_bed;1
minecraft:blue_wool;r_746;-3
minecraft:warped_planks;r_746;-3
r_746;minecraft:blue_bed;1
minecraft:brown_wool;r_747;-3
minecraft:warped_planks;r_747;-3
r_747;minecraft:brown_bed;1
minecraft:green_wool;r_748;-3
minecraft:warped_planks;r_748;-3
r_748;minecraft:green_bed;1
minecraft:red_wool;r_749;-3
minecraft:warped_planks;r_749;-3
r_749;minecraft:red_bed;1
minecraft:black_wool;r_750;-3
minecraft:warped_planks;r_750;-3
r_750;minecraft:black_bed;1
minecraft:orange_bed;r_751;-1
minecraft:bleach;r_751;-1
r_751;minecraft:white_bed;1
minecraft:magenta_bed;r_752;-1
minecraft:bleach;r_752;-1
r_752;minecraft:white_bed;1
minecraft:light_blue_bed;r_753;-1
minecraft:bleach;r_753;-1
r_753;minecraft:white_bed;1
minecraft:yellow_bed;r_754;-1
minecraft:bleach;r_754;-1
r_754;minecraft:white_bed;1
minecraft:lime_bed;r_755;-1
minecraft:bleach;r_755;-1
r_755;minecraft:white_bed;1
minecraft:pink_bed;r_756;-1
minecraft:bleach;r_756;-1
r_756;minecraft:white_bed;1
minecraft:gray_bed;r_757;-1
minecraft:bleach;r_757;-1
r_757;minecraft:white_bed;1
minecraft:light_gray_bed;r_758;-1
minecraft:bleach;r_758;-1
r_758;minecraft:white_bed;1
minecraft:cyan_bed;r_759;-1
minecraft:bleach;r_759;-1
r_759;minecraft:white_bed;1
minecraft:purple_bed;r_760;-1
minecraft:bleach;r_760;-1
r_760;minecraft:white_bed;1
minecraft:blue_bed;r_761;-1
minecraft:bleach;r_761;-1
r_761;minecraft:white_bed;1
minecraft:brown_bed;r_762;-1
minecraft:bleach;r_762;-1
r_762;minecraft:white_bed;1
minecraft:green_bed;r_763;-1
minecraft:bleach;r_763;-1
r_763;minecraft:white_bed;1
minecraft:red_bed;r_764;-1
minecraft:bleach;r_764;-1
r_764;minecraft:white_bed;1
minecraft:black_bed;r_765;-1
minecraft:bleach;r_765;-1
r_765;minecraft:white_bed;1
minecraft:bone_meal;r_766;-1
minecraft:orange_bed;r_766;-1
r_766;minecraft:white_bed;1
minecraft:bone_meal;r_767;-1
minecraft:magenta_bed;r_767;-1
r_767;minecraft:white_bed;1
minecraft:bone_meal;r_768;-1
minecraft:light_blue_bed;r_768;-1
r_768;minecraft:white_bed;1
minecraft:bone_meal;r_769;-1
minecraft:yellow_bed;r_769;-1
r_769;minecraft:white_bed;1
minecraft:bone_meal;r_770;-1
minecraft:lime_bed;r_770;-1
r_770;minecraft:white_bed;1
minecraft:bone_meal;r_771;-1
minecraft:pink_bed;r_771;-1
r_771;minecraft:white_bed;1
minecraft:bone_meal;r_772;-1
minecraft:gray_bed;r_772;-1
r_772;minecraft:white_bed;1
minecraft:bone_meal;r_773;-1
minecraft:light_gray_bed;r_773;-1
r_773;minecraft:white_bed;1
minecraft:bone_meal;r_774;-1
minecraft:cyan_bed;r_774;-1
r_774;minecraft:white_bed;1
minecraft:bone_meal;r_775;-1
minecraft:purple_bed;r_775;-1
r_775;minecraft:white_bed;1
minecraft:bone_meal;r_776;-1
minecraft:blue_bed;r_776;-1
r_776;minecraft:white_bed;1
minecraft:bone_meal;r_777;-1
minecraft:brown_bed;r_777;-1
r_777;minecraft:white_bed;1
minecraft:bone_meal;r_778;-1
minecraft:green_bed;r_778;-1
r_778;minecraft:white_bed;1
minecraft:bone_meal;r_779;-1
minecraft:red_bed;r_779;-1
r_779;minecraft:white_bed;1
minecraft:bone_meal;r_780;-1
minecraft:black_bed;r_780;-1
r_780;minecraft:white_bed;1
minecraft:cocoa_beans;r_781;-1
minecraft:white_bed;r_781;-1
r_781;minecraft:brown_bed;1
minecraft:cocoa_beans;r_782;-1
minecraft:orange_bed;r_782;-1
r_782;minecraft:brown_bed;1
minecraft:cocoa_beans;r_783;-1
minecraft:magenta_bed;r_783;-1
r_783;minecraft:brown_bed;1
minecraft:cocoa_beans;r_784;-1
minecraft:light_blue_bed;r_784;-1
r_784;minecraft:brown_bed;1
minecraft:cocoa_beans;r_785;-1
minecraft:yellow_bed;r_785;-1
r_785;minecraft:brown_bed;1
minecraft:cocoa_beans;r_786;-1
minecraft:lime_bed;r_786;-1
r_786;minecraft:brown_bed;1
minecraft:cocoa_beans;r_787;-1
minecraft:pink_bed;r_787;-1
r_787;minecraft:brown_bed;1
minecraft:cocoa_beans;r_788;-1
minecraft:gray_bed;r_788;-1
r_788;minecraft:brown_bed;1
minecraft:cocoa_beans;r_789;-1
minecraft:light_gray_bed;r_789;-1
r_789;minecraft:brown_bed;1
minecraft:cocoa_beans;r_790;-1
minecraft:cyan_bed;r_790;-1
r_790;minecraft:brown_bed;1
minecraft:cocoa_beans;r_791;-1
minecraft:purple_bed;r_791;-1
r_791;minecraft:brown_bed;1
minecraft:cocoa_beans;r_792;-1
minecraft:blue_bed;r_792;-1
r_792;minecraft:brown_bed;1
minecraft:cocoa_beans;r_793;-1
minecraft:green_bed;r_793;-1
r_793;minecraft:brown_bed;1
minecraft:cocoa_beans;r_794;-1
minecraft:red_bed;r_794;-1
r_794;minecraft:brown_bed;1
minecraft:cocoa_beans;r_795;-1
minecraft:black_bed;r_795;-1
r_795;minecraft:brown_bed;1
minecraft:ink_sac;r_796;-1
minecraft:white_bed;r_796;-1
r_796;minecraft:black_bed;1
minecraft:ink_sac;r_797;-1
minecraft:orange_bed;r_797;-1
r_797;minecraft:black_bed;1
minecraft:ink_sac;r_798;-1
minecraft:magenta_bed;r_798;-1
r_798;minecraft:black_bed;1
minecraft:ink_sac;r_799;-1
minecraft:light_blue_bed;r_799;-1
r_799;minecraft:black_bed;1
minecraft:ink_sac;r_800;-1
minecraft:yellow_bed;r_800;-1
r_800;minecraft:black_bed;1
minecraft:ink_sac;r_801;-1
minecraft:lime_bed;r_801;-1
r_801;minecraft:black_bed;1
minecraft:ink_sac;r_802;-1
minecraft:pink_bed;r_802;-1
r_802;minecraft:black_bed;1
minecraft:ink_sac;r_803;-1
minecraft:gray_bed;r_803;-1
r_803;minecraft:black_bed;1
minecraft:ink_sac;r_804;-1
minecraft:light_gray_bed;r_804;-1
r_804;minecraft:black_bed;1
minecraft:ink_sac;r_805;-1
minecraft:cyan_bed;r_805;-1
r_805;minecraft:black_bed;1
minecraft:ink_sac;r_806;-1
minecraft:purple_bed;r_806;-1
r_806;minecraft:black_bed;1
minecraft:ink_sac;r_807;-1
minecraft:blue_bed;r_807;-1
r_807;minecraft:black_bed;1
minecraft:ink_sac;r_808;-1
minecraft:brown_bed;r_808;-1
r_808;minecraft:black_bed;1
minecraft:ink_sac;r_809;-1
minecraft:green_bed;r_809;-1
